EAI quintile,n_pixels,eai_mean,pa_prob_mean,pa_prob_median
"Q1
(lowest)",3118385,0.228,0.00282,0.00137
Q2,3118636,0.321,0.002406,0.00147
Q3,3118188,0.332,0.0021,0.001377
Q4,3118204,0.362,0.003032,0.001632
"Q5
(highest)",3118354,0.462,0.003243,0.001778
