zone,n_pixels,area_km2,GPW_mean,GPW_median,GPW_p75
All unprotected (baseline),15591767,13230919.0,29.523,2.23,7.872
BAU risk zone,61310,54349.0,50.042,7.238,27.265
Top 5% risk,779590,701409.0,68.836,5.853,21.032
Top 1% risk,155918,139793.0,67.117,7.789,26.15
