Metric,Value
ROC AUC,0.8904
PR AUC,0.6684
Precision @ 1%,0.5419
Precision @ 5%,0.1174
Precision @ 10%,0.0604
Baseline Rate,0.007969
Lift @ 1%,68.01
Lift @ 5%,14.73
Lift @ 10%,7.57
