Metric,Value
ROC AUC,0.9467
PR AUC,0.0931
Precision @ 1%,0.0327
Precision @ 5%,0.007217
Precision @ 10%,0.003632
Recall @ 1%,0.8140
Recall @ 5%,0.8972
Recall @ 10%,0.9032
Baseline Rate,0.000402
Lift @ 1%,81.40
Lift @ 5%,17.94
Lift @ 10%,9.03
Brier Score,0.000400
ECE (Expected Calibration Error),0.000310
MCE (Maximum Calibration Error),0.000310
Brier Score (Uncalibrated),0.005174
Brier Score (Calibrated),0.000400
Future Capture Rate (%),85.89
Combined Recall (%),84.11
