zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),110299943,43.657,0.81,8.092
Top 10% risk,110299943,43.657,0.81,8.092
Top 5% risk,110299943,43.657,0.81,8.092
Top 1% risk,1108671,40.471,0.093,3.371
