BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct,Lift_at_1pct
"Mediterranean Forests, Woodlands & Scrub",3,455758,216,0.0474,0.692,0.0,0.0
Deserts & Xeric Shrublands,4,5895851,12625,0.2141,0.7985,0.0714,33.35
"Temperate Grasslands, Savannas & Shrublands",9,15657831,363,0.0023,0.8029,0.0008,33.06
Temperate Broadleaf & Mixed Forests,6,9181073,564,0.0061,0.9378,0.0033,53.01
Temperate Conifer Forests,6,5103496,737,0.0144,0.9518,0.0002,1.63
