threshold_pct,total_pa_pixels,total_pa_km2,captured_pixels,captured_km2,recall_pct,precision_pct,observed_in_test_only,observed_in_future_window
1,7093,7093.0,5960,5960.0,84.03,4.86,7093,0
5,7093,7093.0,6655,6655.0,93.82,1.09,7093,0
10,7093,7093.0,6704,6704.0,94.52,0.55,7093,0
