model,biome,rank,feature,importance_score,method,n_samples
RF,Montane Grasslands & Shrublands,1,dist_oil_gas,0.006024363358002005,permutation,1000
RF,Montane Grasslands & Shrublands,2,WorldClim_b11,0.005451858525784248,permutation,1000
RF,Montane Grasslands & Shrublands,3,policy_b2,0.004601149144634964,permutation,1000
RF,Montane Grasslands & Shrublands,4,WorldClim_b9,0.0014274715150865314,permutation,1000
RF,Montane Grasslands & Shrublands,5,WorldClim_b6,0.0009719662360519133,permutation,1000
RF,Montane Grasslands & Shrublands,6,WorldClim_b17,0.0009082171700177444,permutation,1000
RF,Montane Grasslands & Shrublands,7,GSN_b4_smooth64,0.0008911759776812466,permutation,1000
RF,Montane Grasslands & Shrublands,8,WorldClim_b12,0.0005280150706800324,permutation,1000
RF,Montane Grasslands & Shrublands,9,elevation_b2_smooth16,0.0005251692298766208,permutation,1000
RF,Montane Grasslands & Shrublands,10,dist_indigenous,0.0005138323673284706,permutation,1000
RF,N/A,1,policy_b2,1.1102230246251565e-16,permutation,1000
RF,N/A,2,policy_b4,1.1102230246251565e-16,permutation,1000
RF,N/A,3,policy_b3,1.1102230246251565e-16,permutation,1000
RF,N/A,4,policy_b1,1.1102230246251565e-16,permutation,1000
RF,N/A,5,GSN_b4,8.881784197001253e-17,permutation,1000
RF,N/A,6,elevation_b2_smooth16,6.661338147750939e-17,permutation,1000
RF,N/A,7,WorldClim_b13,6.661338147750939e-17,permutation,1000
RF,N/A,8,GSN_b4_smooth16,6.661338147750939e-17,permutation,1000
RF,N/A,9,elevation_b2,6.661338147750939e-17,permutation,1000
RF,N/A,10,powerplants_b2,6.661338147750939e-17,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,1,GPW,0.04669127415509979,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,2,policy_b2,0.018387380343111957,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,3,dist_indigenous,0.012878914462461921,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,4,GPW_smooth16,0.011107996188593127,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,5,elevation_b2_smooth64,0.010444424440484056,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,6,elevation_b2_smooth16,0.009000867325868089,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,7,HNTL_smooth64,0.008519942176478067,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,8,HNTL_smooth16,0.008265276217314255,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,9,deforestation_b1_smooth64,0.008095966120334563,permutation,1000
RF,Temperate Broadleaf & Mixed Forests,10,dist_powerplant,0.0076571142483962355,permutation,1000
