model,biome,n_samples,n_positives,positive_rate,neg_pos_ratio,mean_pred_prob,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct
LGBM,Deserts & Xeric Shrublands,1197205,1642,0.0013715278502846213,728.1138855054811,0.004024548456072807,0.9791773866860944,0.09351663381309505,0.06757434012696291,0.025743401269629134,0.013272636151019044,0.49269183922046283,0.938489646772229,0.9677222898903776
LGBM,Flooded Grasslands & Savannas,694428,486,0.0006998565726036392,1427.8641975308642,0.006184379570186138,0.9415672649697732,0.2933386159262778,0.05256336405529954,0.010685176118199361,0.005702600731545751,0.7510288065843621,0.7633744855967078,0.8148148148148148
LGBM,Mangroves,96634,1869,0.01934101868907424,50.7035848047084,0.05781005322933197,0.9243462433345508,0.1991126569825117,0.2505175983436853,0.21424135789691576,0.14177791576115079,0.12948100588550027,0.5537720706260032,0.7330123060460139
LGBM,"Mediterranean Forests, Woodlands & Scrub",598143,2381,0.003980653455778969,250.215035699286,0.002969275927171111,0.46118032701938066,0.09067859109462288,0.07323190101989634,0.020597184605610726,0.011301701942689002,0.18395632087358252,0.2587148257034859,0.28391432171356573
LGBM,Montane Grasslands & Shrublands,2571166,36436,0.014171002572373779,69.56663739159073,0.010674598626792431,0.9402142830308328,0.5116756392611723,0.6358368013690638,0.22516685075996826,0.11781063799996888,0.4486771325063124,0.7944615215720716,0.8313481172466791
LGBM,N/A,3609,2040,0.5652535328345802,0.7691176470588236,0.8255484104156494,0.753322335945213,0.7802808280051392,1.0,0.9833333333333333,0.9222222222222223,0.01764705882352941,0.08676470588235294,0.1627450980392157
LGBM,Temperate Broadleaf & Mixed Forests,1507741,117685,0.0780538567300352,11.811666737477164,0.12361476570367813,0.9646738522083942,0.756661786951762,0.9633216157060424,0.7360154933874541,0.6603857428999695,0.12341419892084803,0.47147894803925733,0.8460636444746569
LGBM,"Temperate Grasslands, Savannas & Shrublands",7860915,6895,0.0008771243551164209,1139.0891950688906,0.0030460963025689125,0.9992825735634929,0.6557129004796789,0.08735640957142311,0.017511989721278733,0.008761072191387512,0.9959390862944163,0.9982596084118927,0.9988397389412618
LGBM,Tropical & Subtropical Dry Broadleaf Forests,4147799,20948,0.005050389375184284,197.00453503914454,0.010834469459950924,0.9299152204901502,0.34174769900296526,0.275453865998023,0.07738115329164034,0.04045045674925683,0.5453981286996372,0.7660874546496086,0.8009356501814016
LGBM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",11868861,16752,0.0014114243986849285,707.5041189111748,0.0052065434865653515,0.8878063435125757,0.22253288814687944,0.07174272040981397,0.016699160660754275,0.00895705232010488,0.5082975167144221,0.5915711556829035,0.6346107927411653
LGBM,Tropical & Subtropical Moist Broadleaf Forests,16852053,150459,0.008928229694031937,111.00428688214065,0.01490576658397913,0.8500279017803012,0.1571036968442406,0.2630548302872063,0.09001640157512088,0.054042683234383944,0.29463176014728265,0.5041107544247935,0.605301111930825
LGBM,Unknown,296953,22471,0.07567190767562544,12.214943705220062,0.12186311185359955,0.9790784863790868,0.7477495117578945,0.9302795554058606,0.7101097864888529,0.6530729078969524,0.12291397801610965,0.4691825018913266,0.8630234524498243
LGBM,ALL,47695507,380064,0.007968549322685677,124.49335638208302,0.013656210154294968,0.9336370281853935,0.45853519093155864,0.4487027078026229,0.12042855195982849,0.0645396316214318,0.5630920055569588,0.7556490485812916,0.8099293803148944
RF,Deserts & Xeric Shrublands,1197205,1642,0.0013715278502846213,728.1138855054811,0.004720043856650591,0.9870084428587613,0.5012749476553188,0.13247577681256265,0.026862679585699968,0.013473103909121284,0.9658952496954933,0.9792935444579781,0.9823386114494519
RF,Flooded Grasslands & Savannas,694428,486,0.0006998565726036392,1427.8641975308642,0.009759725071489811,0.8448684065969484,0.7467685334179343,0.0527073732718894,0.010541171049220933,0.0052705855246104666,0.7530864197530864,0.7530864197530864,0.7530864197530864
RF,Mangroves,96634,1869,0.01934101868907424,50.7035848047084,0.05723070353269577,0.9695684436031491,0.3290618424393014,0.14492753623188406,0.30055889049886153,0.17665321328779882,0.0749063670411985,0.7768860353130016,0.913322632423756
RF,"Mediterranean Forests, Woodlands & Scrub",598143,2381,0.003980653455778969,250.215035699286,0.00507596880197525,0.5551047450219013,0.17235726106678925,0.08409964888814579,0.018992209181796903,0.010365466278797605,0.2112557748845023,0.23855522889542208,0.2603947921041579
RF,Montane Grasslands & Shrublands,2571166,36436,0.014171002572373779,69.56663739159073,0.011597669683396816,0.8986997073205305,0.6875281690801871,0.8648049472988215,0.2296473187199552,0.11647272048413945,0.6102481062685257,0.8102700625754748,0.8219069052585355
RF,N/A,3609,2040,0.5652535328345802,0.7691176470588236,0.7001457214355469,0.9237749784426199,0.9537766796707835,1.0,1.0,1.0,0.01764705882352941,0.08823529411764706,0.17647058823529413
RF,Temperate Broadleaf & Mixed Forests,1507741,117685,0.0780538567300352,11.811666737477164,0.10393514484167099,0.9713000376635458,0.8649396789544831,0.998474497579094,0.8894371708650033,0.6966983697454469,0.12791774652674512,0.5697582529634193,0.8925861409695374
RF,"Temperate Grasslands, Savannas & Shrublands",7860915,6895,0.0008771243551164209,1139.0891950688906,0.0025921915657818317,0.999636821153609,0.9017709121644351,0.08763627574450762,0.01753488786271292,0.008767432778138918,0.9991298042059463,0.9995649021029732,0.9995649021029732
