zone,n_pixels,area_km2,HNTL_mean,HNTL_median,HNTL_p75,GPW_mean,GPW_median,GPW_p75,dist_road_median_km,dist_road_mean_km,dist_oil_gas_median_km,dist_oil_gas_mean_km
All unprotected (baseline),4067149,3864910.0,5.375,1.541,7.0,170.856,50.977,118.051,2.0,5.2,141.43,210.2
BAU risk zone,12202,11188.0,2.68,0.0,7.0,181.12,19.247,78.702,3.16,4.9,199.45,262.89
Top 5% risk,203358,196239.0,2.343,0.0,3.951,160.531,46.298,85.839,4.24,6.94,191.23,245.58
Top 1% risk,40672,37584.0,2.82,0.0,7.0,177.675,25.998,80.221,3.16,5.07,199.58,257.07
