layer,priority_col,annotation_subject,sweet_spot_km2,priority_area_km2,designated_30x30_km2,alignment_pct_designations_inside_priority,coverage_pct_priority_covered_by_designations
biodiversity,GSN_b2,biodiversity priority,320721.688,1035811.125,727362.062,44.094,30.963
climate_stabilisation,GSN_b1,climate stabilisation priority,13063.848,65038.398,727362.062,1.796,20.086
