land_cover_group,Baseline_km2,Baseline_pct,BAU_km2,BAU_pct,Top 5%_km2,Top 5%_pct,Top 1%_km2,Top 1%_pct
Forest,1782741.0,46.1,5871.0,52.5,133793.0,68.2,19306.0,51.4
Shrubland,107.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Savanna / Grassland,1238559.0,32.0,3551.0,31.7,43402.0,22.1,12079.0,32.1
Wetland,75503.0,2.0,465.0,4.2,4841.0,2.5,1693.0,4.5
Agriculture,663483.0,17.2,208.0,1.9,4183.0,2.1,759.0,2.0
Urban,39331.0,1.0,59.0,0.5,759.0,0.4,216.0,0.6
Bare / Other,65184.0,1.7,1034.0,9.2,9252.0,4.7,3530.0,9.4
