EAI quintile,n_pixels,eai_mean,pa_prob_mean,pa_prob_median
"Q1
(lowest)",813464,0.219,0.00359,0.002379
Q2,813396,0.317,0.003302,0.001747
Q3,813429,0.346,0.002233,0.000916
Q4,813562,0.382,0.001485,0.00043
"Q5
(highest)",813298,0.512,0.001458,0.000303
