iso,country,new_designated_km2,sweet_spot_km2,biodiv_priority_km2,alignment_pct
IDN,Indonesia,508079.0,269417.0,655061.0,53.0
VNM,Vietnam,3292.0,1603.0,40552.0,48.7
MYS,Malaysia,17901.0,7960.0,95097.0,44.5
LAO,Laos,45517.0,18897.0,64170.0,41.5
BRN,Brunei,69.0,20.0,3560.0,28.6
THA,Thailand,5425.0,830.0,22469.0,15.3
TLS,East Timor,831.0,96.0,911.0,11.5
MMR,Myanmar,17260.0,1943.0,113165.0,11.3
KHM,Cambodia,14790.0,1023.0,1691.0,6.9
PHL,Philippines,29712.0,304.0,1204.0,1.0
