BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct,Lift_at_1pct
Mangroves,2,285627,46,0.0161,0.9406,0.0095,58.7
Tropical & Subtropical Dry Broadleaf Forests,2,1651993,17702,1.0716,0.9737,0.2633,24.57
Tropical & Subtropical Moist Broadleaf Forests,20,10239060,51475,0.5027,0.9771,0.4159,82.74
Temperate Conifer Forests,1,17094,4284,25.0614,0.9966,1.0,3.99
Tropical & Subtropical Coniferous Forests,1,25137,21,0.0835,0.9995,0.0837,100.15
