Metric,Value
ROC AUC,0.9932
PR AUC,0.9244
Precision @ 1%,0.5613
Precision @ 5%,0.1145
Precision @ 10%,0.0580
Recall @ 1%,0.9420
Recall @ 5%,0.9607
Recall @ 10%,0.9732
Baseline Rate,0.005959
Lift @ 1%,94.20
Lift @ 5%,19.21
Lift @ 10%,9.73
Brier Score,0.001344
ECE (Expected Calibration Error),0.008777
MCE (Maximum Calibration Error),0.1534
Brier Score (Uncalibrated),0.001478
Brier Score (Calibrated),0.001344
Future Capture Rate (%),90.25
Combined Recall (%),59.85
