zone,n_pixels,GPW_mean,GPW_median,GPW_p75
All test pixels (baseline),37440050,156.7,47.199,112.391
Top 10% risk,3744006,69.358,29.124,68.448
Top 5% risk,1881921,56.329,21.702,56.267
Top 1% risk,385930,33.932,7.679,24.562
