layer,priority_col,annotation_subject,sweet_spot_km2,priority_area_km2,designated_30x30_km2,alignment_pct_designations_inside_priority,coverage_pct_priority_covered_by_designations
biodiversity,GSN_b2,biodiversity priority,6674.358,59454.016,1742389.75,0.383,11.226
climate_stabilisation,GSN_b1,climate stabilisation priority,102742.945,617569.25,1742389.75,5.897,16.637
