land_cover_group,Baseline_km2,Baseline_pct,BAU_km2,BAU_pct,Top 5%_km2,Top 5%_pct,Top 1%_km2,Top 1%_pct
Forest,1068087.0,14.8,23.0,8.8,63448.0,17.7,14196.0,19.4
Shrubland,431691.0,6.0,42.0,16.2,17947.0,5.0,11166.0,15.3
Savanna / Grassland,3852556.0,53.5,106.0,41.1,139812.0,39.1,28995.0,39.7
Wetland,36422.0,0.5,19.0,7.5,3814.0,1.1,823.0,1.1
Agriculture,1488125.0,20.7,16.0,6.4,115620.0,32.3,9949.0,13.6
Urban,146612.0,2.0,4.0,1.7,4381.0,1.2,1212.0,1.7
Bare / Other,178410.0,2.5,47.0,18.3,12689.0,3.5,6675.0,9.1
