zone,n_pixels,area_km2,GPW_mean,GPW_median,GPW_p75
All unprotected (baseline),12218241,7201908.0,46.035,0.818,8.331
BAU risk zone,435,258.0,22.075,1.568,9.39
Top 5% risk,610913,355500.0,27.637,1.064,6.869
Top 1% risk,122183,72597.0,35.196,0.272,3.968
