EAI quintile,n_pixels,eai_mean,pa_prob_mean,pa_prob_median
"Q1
(lowest)",2449714,0.183,2.9e-05,0.0
Q2,2458790,0.29,3e-05,3e-06
Q3,2422442,0.331,3.5e-05,2.9e-05
Q4,2443648,0.364,4.1e-05,3.3e-05
"Q5
(highest)",2443647,0.516,3.6e-05,3.2e-05
