Metric,Value
ROC AUC,0.9145
PR AUC,0.2935
Precision @ 1%,0.4308
Precision @ 5%,0.1068
Precision @ 10%,0.0542
Baseline Rate,0.006739
Lift @ 1%,63.92
Lift @ 5%,15.85
Lift @ 10%,8.05
