Metric,Value
ROC AUC,0.9135
PR AUC,0.2790
Precision @ 1%,0.3516
Precision @ 5%,0.1032
Precision @ 10%,0.0537
Baseline Rate,0.006739
Lift @ 1%,52.17
Lift @ 5%,15.32
Lift @ 10%,7.97
