land_cover_group,Baseline_km2,Baseline_pct,BAU_km2,BAU_pct,Top 5%_km2,Top 5%_pct,Top 1%_km2,Top 1%_pct
Forest,3463321.0,26.2,31202.0,57.4,328330.0,45.5,75792.0,53.4
Shrubland,794362.0,6.0,793.0,1.5,5290.0,0.7,1707.0,1.2
Savanna / Grassland,7219770.0,54.6,14478.0,26.6,324842.0,45.0,45456.0,32.0
Wetland,73045.0,0.6,1520.0,2.8,9174.0,1.3,3449.0,2.4
Agriculture,915183.0,6.9,236.0,0.4,12400.0,1.7,1665.0,1.2
Urban,78564.0,0.6,947.0,1.7,12088.0,1.7,3171.0,2.2
Bare / Other,686691.0,5.2,5173.0,9.5,29790.0,4.1,10722.0,7.6
