zone,n_pixels,area_km2,HNTL_mean,HNTL_median,HNTL_p75,GPW_mean,GPW_median,GPW_p75,dist_road_median_km,dist_road_mean_km,dist_oil_gas_median_km,dist_oil_gas_mean_km
All unprotected (baseline),15591767,13230936.0,3.127,0.0,7.0,29.523,2.23,7.872,2.83,9.94,69.18,94.23
BAU risk zone,60527,54350.0,4.109,0.0,4.638,128.217,4.437,25.835,5.66,25.95,59.4,107.66
Top 5% risk,779590,721915.0,5.04,0.0,7.0,114.496,4.727,23.716,3.0,13.41,48.49,84.17
Top 1% risk,155918,141962.0,4.95,0.0,7.0,161.65,5.408,26.849,4.0,20.6,51.42,94.21
