EAI quintile,n_pixels,eai_mean,pa_prob_mean,pa_prob_median
"Q1
(lowest)",3118385,0.228,0.004279,0.002062
Q2,3118636,0.321,0.003025,0.002004
Q3,3118188,0.332,0.002457,0.00129
Q4,3118204,0.362,0.003631,0.002175
"Q5
(highest)",3118354,0.462,0.004501,0.002519
